ID,Brand,Model,Color,Nib Size,Ink Color,Purchase Date,Price,Notes
195,Souvenir,Chinese Pencil Set:MIAN XIAO QIAN BI,"pink , purple , green , blue",,pencil,2023-01-01,50.0,
196,Souvenir,CHREN-<chinese symbols> Fountain Pen,"purple , blue",,blue,2023-01-01,30.0,Fountain Pen
197,Reynolds,Racer Gel active,greenish-blue,,blue,2023-01-01,10.0,Inside packet of pentonic 0.6 GEL ; Gel Pen
198,cello,Sports Gel,pink,,,2023-01-01,10.0,
199,Reynolds,Racer Gel II,pattern,,,2023-01-01,15.0,Sachin Tendulkar Edition Gel
200,AGNI,ICY GEL,red,,red,2023-01-01,10.0,Gel Pen
201,Souvenir,Trishul Shape Pen,pattern,,,2023-01-01,15.0,
202,JUTHIKA,TUFAN GEL,red,,red,2023-01-01,10.0,Inside Complan Box
203,Reynolds,TEKPOINT Gel,blue,,blue,2023-01-01,15.0,
204,Rorito,FORCERGEL (Rovio),black,,blue,2016-09-01,10.0,Gel Pen ; Angry Birds Pen
205,DOMS,Smart POINT,"blue , purple , red , yellow , green",,blue,2019-02-01,20.0,Ball Pen set of 5
206,PARKER,BETA PREMIUM GOLD,gold-black,,blue,2020-03-01,250.0,"1 Fountain Pen , 1 Quink Ink Bottle 30 ml free"
207,pierre cardin,Momento HALF Gold,silver cap-black body,,blue,2019-01-01,125.0,"Fountain Pen , 2 Ink Cartridges"
208,pierre cardin,TRIUMPH,black,,blue,2018-11-01,100.0,Ball Pen
209,Flair,Swift,silver,,,2020-03-01,80.0,Sleek Metal Ball Pen
210,PARKER,VECTOR STANDARD,sky blue,,blue,2020-08-01,300.0,"Fountain pen , 3 Ink Cartridges Free"
211,Reynolds,JETTER METALLIC FX,silver,,blue,2018-03-01,40.0,Ball Pen
212,pierre cardin,BLACK MAGIC,black,,blue,2021-03-01,150.0,Ball Pen
213,pierre cardin,Plus SERIES Chic,black-light yellow,,blue,2019-04-01,50.0,Ball Pen
214,LINC,SIGNETTA 2.0 supertip,silver,,blue,2019-06-01,20.0,Retractable Ball Pen
215,pierre cardin,BLACK Beauty,black,,blue,2021-02-01,150.0,Twist Ball Pen
216,UNOMAX,RICHMOND,golden,,blue,2021-03-01,100.0,Ball Pen
217,cello,BENZ,dark blue-black,,blue,2018-06-01,45.0,Retractable Ball Pen
218,PARKER,folio ANTIMICROBIAL Copper Ion Plated,gold,,blue,2021-01-01,349.0,Ball Pen
219,Montex,Farari,maroon,,blue,2017-10-01,15.0,Roller Ball Pen
220,pierre cardin,Jewel SATIN GOLD,gold,,blue,2021-06-01,500.0,Ball Pen ; Red Jewel
221,pierre cardin,Pearl KONARK,gold,,blue,2019-02-01,200.0,Ball Pen
222,Souvenir,Invisible Pen & Black Light Combo,blue,,,2023-01-01,20.0,Invisible Ink Pen
223,WIN,TRACK,black,,blue,2021-03-01,12.0,Ball Pen
224,OMEGA,Easy Rite,silver,,blue,2021-03-01,10.0,Ball Pen
